Unnamed: 0,FP1,FP2,F3,F4,C3,C4,P3,P4,01,02,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4
1260,-12,-14,-5,-23,-9,-9,-12,-9,-31,12,-12,-12,-18,-11,-12,-20,-18,-10,-27,-23,-126,-7,-16,-4,-18,-1657,-636,-80,-3120,-66
1261,-3,-3,1,-11,-4,-1,-11,0,-33,7,0,1,-14,3,2,-13,-10,0,-16,-15,-115,-6,1,-12,-6,-1290,760,-76,-3007,89
1262,-5,-24,1,9,-5,-2,-7,-9,-11,-20,6,-3,2,-20,0,-7,-8,-2,-8,-4,-20,-1,-3,0,-11,-676,-558,1,846,2817
1263,6,2,-2,4,1,6,8,22,0,38,-2,6,2,22,-4,3,6,-1,3,2,5,1,9,7,15,-2259,1127,14,52,-740
1264,-11,-12,-12,-10,-11,-16,-18,-26,-42,4,-8,-14,-7,-23,-15,-20,-12,-11,-16,-15,-76,-7,-13,-13,-22,-5204,2094,-30,-2298,2836
1265,9,9,-1,3,0,4,6,6,-2,42,7,9,-2,-6,-1,10,10,3,7,8,13,7,7,6,2,-3571,1708,70,-1975,3144
1266,18,15,17,21,18,21,22,32,41,-27,4,15,16,24,13,48,25,19,26,17,62,12,23,18,28,-3237,2256,-34,523,-3302
1267,6,7,6,6,4,9,7,10,17,28,7,10,-1,18,2,11,1,7,1,7,37,7,3,7,4,-1976,806,64,1560,1518
1268,-15,-14,-6,-13,-9,-12,-7,4,1,19,-13,-8,-10,10,-8,-14,-7,-10,-13,-10,-10,2,-13,-2,-3,-1225,118,9,-56,-742
1269,-26,-26,-24,-26,-27,-27,-25,-29,-23,-12,-25,-28,-15,-17,-23,-27,-26,-24,-20,-23,-20,-18,-32,-23,-25,674,104,-117,1368,-1837
1270,5,15,-23,-30,-15,-2,-9,0,-2,0,-16,-11,13,-21,-17,-13,-4,-15,-10,-11,-11,-10,-5,-20,0,-2144,1836,16,-1522,-1222
1271,-1,-3,4,3,0,2,6,8,23,47,1,3,6,36,5,4,3,3,0,4,28,4,-5,3,8,-3872,-1352,-94,1986,-3605
1272,4,12,2,3,6,7,11,13,15,-27,2,7,-1,-8,-3,12,-1,3,-9,2,10,3,8,7,-2,-4750,452,-6,4378,-1261
1273,3,0,10,15,11,0,11,3,27,-13,-6,3,1,-7,6,43,-12,12,19,6,29,6,9,10,19,-3222,2757,-30,206,-3592
1274,-3,-1,1,5,2,3,5,10,7,-1,-1,4,-8,4,-2,7,-1,1,0,1,0,0,1,3,9,244,-342,20,-708,102
1275,10,13,5,5,4,2,2,1,10,19,6,10,0,18,5,22,1,8,9,6,-14,4,10,2,-5,-3310,246,55,-2776,2898
1276,-9,-4,-8,-21,-10,-14,-14,-10,-29,-27,-10,-2,-27,-7,-10,8,-24,-8,-14,-15,-27,-5,-10,-1,-12,-3138,-22,54,-654,1831
1277,20,-9,28,24,21,20,19,10,14,164,16,10,15,0,26,11,-11,19,21,13,23,20,28,25,12,-833,346,-50,1190,2827
1278,-4,4,6,-14,2,-6,-5,-6,-5,-1,-4,-4,6,4,2,-7,-7,0,-10,-5,-12,1,-9,4,-4,3248,1254,12,1637,514
1279,-8,-7,-10,-9,-15,-8,-12,-9,0,26,-7,-7,8,-23,-14,-8,-8,-11,-14,-9,14,-8,-4,-8,-3,-3015,986,75,1128,2762
1280,47,34,19,11,22,31,26,38,21,-44,12,18,36,58,28,15,26,27,34,27,-3,15,27,18,46,-2492,108,-31,-3502,-3523
1281,18,19,15,15,11,20,11,18,24,-29,14,16,14,25,12,5,6,14,9,9,36,9,24,4,16,-3100,-1610,6,4026,-1915
1282,0,-1,-5,-6,-2,2,4,8,7,14,-4,-2,7,-9,-6,-4,4,-5,0,-2,5,2,-3,5,11,252,-647,2,106,343
1283,-13,6,8,-3,1,1,2,-4,0,138,-3,-9,19,10,3,-7,-21,-1,-4,-4,4,-5,-9,-3,0,-1044,-1584,-41,1262,-764
